"","sp_angst_lv_1","t_angst_1","t_angst_3","id_nummer","gruppe_3","cluster_group"
"302",2.66666666666667,2.2,1.8,290,"Kontroll","high"
"303",1,2,1.6,291,"Kontroll","low"
"304",1.66666666666667,1.6,1,292,"Kontroll","low"
"305",1.66666666666667,3,1.8,293,"Kontroll","high"
"306",1.33333333333333,1.4,1.2,294,"Kontroll","low"
"307",2,2,1.6,295,"Kontroll","low"
"308",1,1.8,2,296,"Kontroll","low"
"309",1.66666666666667,2.6,2,297,"Kontroll","high"
"311",1,2.4,2.2,299,"Kontroll","low"
"312",1.33333333333333,2,1.2,300,"Kontroll","low"
"313",2,1.6,1.6,301,"Kontroll","low"
"314",2,3.4,3,302,"Kontroll","high"
"317",1,1.8,1.6,303,"Kontroll","low"
"318",1.33333333333333,2.2,2,304,"Kontroll","low"
"319",1,1.2,1.6,305,"Kontroll","low"
"321",1.66666666666667,1.6,1.8,307,"Kontroll","low"
"322",1,1.6,2.2,308,"Kontroll","low"
"323",1.66666666666667,2.2,1,309,"Kontroll","low"
"324",1,3,2.2,310,"Kontroll","high"
"325",1.66666666666667,2,1.4,311,"Kontroll","low"
"326",1.66666666666667,2.2,2.4,312,"Kontroll","low"
"327",1.33333333333333,1.8,1.8,313,"Kontroll","low"
"329",2.33333333333333,1.4,1.4,315,"Kontroll","low"
"330",2.33333333333333,1.2,1,316,"Kontroll","low"
"331",1.66666666666667,3.2,3.2,317,"Kontroll","high"
"332",1.33333333333333,2.4,3.4,318,"Kontroll","low"
"333",1,2,1.6,319,"Kontroll","low"
"334",1.66666666666667,2.6,2,320,"Kontroll","high"
"335",2,2.2,3.2,321,"Kontroll","high"
"336",3,3.6,3.4,322,"Kontroll","high"
"337",2,3.2,2.2,323,"Kontroll","high"
"339",2.33333333333333,1.8,2.2,324,"Experimental","low"
"340",1,1.4,2,325,"Experimental","low"
"341",2,2,2,326,"Experimental","low"
"342",2,2,2.4,327,"Experimental","low"
"343",1.66666666666667,2.2,2.4,328,"Experimental","low"
"344",2,1.2,1.6,329,"Experimental","low"
"345",2.33333333333333,2.4,2.2,330,"Experimental","high"
"346",1.33333333333333,1.4,1.6,331,"Experimental","low"
"347",1,2.2,1.6,332,"Experimental","low"
"348",1.33333333333333,2.2,1.4,333,"Experimental","low"
"349",1.33333333333333,1.8,1.2,334,"Experimental","low"
"350",2,2.2,1.4,335,"Experimental","high"
"352",1.66666666666667,1.8,2.4,337,"Experimental","low"
"353",1.33333333333333,1.4,1,338,"Experimental","low"
"354",2.66666666666667,2.6,3,339,"Experimental","high"
"355",1.66666666666667,2,2,340,"Kontroll","low"
"356",1,1.4,1.4,341,"Kontroll","low"
"357",1,1.8,1,342,"Kontroll","low"
"358",1.66666666666667,1.8,2,343,"Kontroll","low"
"359",2.33333333333333,2,2.2,344,"Kontroll","high"
"360",1,1.8,1.6,345,"Kontroll","low"
"361",2,2,2,346,"Kontroll","low"
"362",1,1.6,1.4,347,"Kontroll","low"
"363",2.33333333333333,3.2,2.2,348,"Kontroll","high"
"364",1,1.2,1.8,349,"Kontroll","low"
"365",2,2.8,3.4,350,"Kontroll","high"
"366",2,2,1.8,350.1,"Kontroll","low"
"367",1,1.8,2,351,"Experimental","low"
"368",1.33333333333333,1.8,1.8,352,"Experimental","low"
"369",1,1.4,1.2,353,"Experimental","low"
"370",2.66666666666667,1.8,1.6,354,"Experimental","high"
"371",2.33333333333333,1.8,1.4,355,"Experimental","low"
"372",2.66666666666667,1.8,2.6,356,"Experimental","high"
"374",3,1.6,1.2,358,"Experimental","high"
"375",1,1,1.2,359,"Experimental","low"
"376",2,2.4,2,360,"Experimental","high"
"377",3.33333333333333,2.6,2.4,361,"Experimental","high"
"378",1,2,2.2,362,"Experimental","low"
"379",1.33333333333333,1.6,1.2,363,"Experimental","low"
"380",2.33333333333333,2.5,2,364,"Experimental","high"
"381",1.33333333333333,2,1.8,365,"Experimental","low"
"382",1.66666666666667,1.6,1.2,366,"Experimental","low"
"383",1.33333333333333,2,1.4,367,"Experimental","low"
"384",1.33333333333333,1,1.8,368,"Experimental","low"
"385",1.5,1.6,1.2,369,"Experimental","low"
"386",1,1,1,370,"Experimental","low"
"387",1.66666666666667,2.2,2.2,371,"Experimental","low"
"388",1.33333333333333,1,1,372,"Experimental","low"
"389",1.66666666666667,1.4,2,373,"Experimental","low"
"390",1.33333333333333,1.6,2,374,"Experimental","low"
"391",1.66666666666667,1.6,1.4,375,"Experimental","low"
"393",1.33333333333333,2.2,2.4,377,"Experimental","low"
"394",1.66666666666667,1.6,1.4,378,"Experimental","low"
"395",2.33333333333333,1.4,1.2,379,"Experimental","low"
"396",1.66666666666667,1.4,1.2,380,"Experimental","low"
"397",1,1,1.4,381,"Experimental","low"
"398",2.66666666666667,1,1.2,382,"Experimental","low"
"399",2,2.2,1.2,383,"Experimental","high"
"400",1,2.6,2.2,384,"Experimental","low"
"401",1.66666666666667,1.4,1.8,385,"Experimental","low"
"402",1,1.2,2,386,"Experimental","low"
"403",1.33333333333333,2,2.8,387,"Experimental","low"
"404",1.66666666666667,1.6,1.4,388,"Experimental","low"
"442",1,1.4,1.6,424,"Experimental","low"
"444",2.66666666666667,3,2.6,426,"Experimental","high"
"445",1.66666666666667,2.6,3.4,427,"Experimental","high"
"446",1.66666666666667,2.2,1.8,428,"Experimental","low"
"447",2.33333333333333,2.2,3,429,"Experimental","high"
"448",1.33333333333333,1.6,1.8,430,"Experimental","low"
"449",1.33333333333333,1.6,2,431,"Experimental","low"
"450",2,2.2,1.8,432,"Experimental","high"
"451",2.66666666666667,2,1.6,433,"Experimental","high"
"452",1.66666666666667,1.4,2,434,"Experimental","low"
"453",2,1.6,1.6,435,"Experimental","low"
"454",1.33333333333333,1.8,1.8,436,"Experimental","low"
"455",1.33333333333333,1.6,1.2,437,"Experimental","low"
"456",1.33333333333333,1.8,1.2,438,"Experimental","low"
"457",1.66666666666667,1.4,1,439,"Experimental","low"
"458",1.66666666666667,3,3.4,440,"Experimental","high"
"459",1.33333333333333,2,2.2,441,"Experimental","low"
"461",1.33333333333333,1.4,1.4,443,"Experimental","low"
